Apidae,
Anthophora californica,12
Apis mellifera,176
Bombus sonorus,2
Xylocopa californica,46
Xylocopa sonorina,14
Hesperiidae,
Copaeodes aurantiaca,4
Erynnis funeralis,1
Hylephila phyleus,18
Lerodea eufala,1
Lycaenidae,
Brephidium exilis,5
Echinargus isola,2
Hemiargus ceraunus,3
Leptotes marina,15
Strymon melinus,2
Nymphalidae,
Agraulis vanillae,1
Anthanassa texana,7
Asterocampa celtis,2
Chlosyne lacinia,1
Danaus gilippus,32
Danaus plexippus,18
Junonia coenia,1
Junonia nigrosuffusa,1
Libytheana carinenta,5
Vanessa cardui,34
Vanessa virginiensis,1
Papilionidae,
Battus philenor,4
Papilio polyxenes,5
Papilio rumiko,23
Pieridae,
Colias eurytheme,1
Phoebis agarithe,1
Phoebis sennae,15
Pontia protodice,1
Zerene cesonia,2
Riodinidae,
Calephelis nemesis,1
